mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;20.10.2021;2047,77;2050,56;2043,87;2049,78;0,07;4068077,82
XZAG;CBX;HRZB00ICBEX6;19.10.2021;2041,07;2048,95;2039,56;2048,29;0,29;3016963,9
XZAG;CBX;HRZB00ICBEX6;18.10.2021;2047,81;2051;2041,6;2042,4;-0,26;9048849,95
XZAG;CBX;HRZB00ICBEX6;15.10.2021;2047,27;2053,2;2044,56;2047,81;0,03;4802286,3
XZAG;CBX;HRZB00ICBEX6;14.10.2021;2045,58;2053,53;2044,86;2047,27;0,08;7050290,05
XZAG;CBX;HRZB00ICBEX6;13.10.2021;2044,01;2045,99;2039,51;2045,58;0,08;10988841,2
XZAG;CBX;HRZB00ICBEX6;12.10.2021;2042,41;2045,89;2039,34;2044,01;0,1;6297824,16
XZAG;CBX;HRZB00ICBEX6;11.10.2021;2033,99;2046,06;2026,3;2042,05;0,4;8278542,09
XZAG;CBX;HRZB00ICBEX6;8.10.2021;2038,43;2042,07;2031,84;2033,99;-0,2;4807412,56
XZAG;CBX;HRZB00ICBEX6;7.10.2021;2032,7;2044,51;2031,06;2038,08;0,24;10120070,02
XZAG;CBX;HRZB00ICBEX6;6.10.2021;2032,58;2041,32;2026,27;2033,11;0,03;11074025,7
XZAG;CBX;HRZB00ICBEX6;5.10.2021;2024,05;2034,8;2015,9;2032,58;0,26;11487702,28
XZAG;CBX;HRZB00ICBEX6;4.10.2021;2026,67;2035,9;2019,67;2027,35;0,16;11509652,75
XZAG;CBX;HRZB00ICBEX6;1.10.2021;1999,24;2027,36;1996,68;2024,03;1,24;18779524,69
XZAG;CBX;HRZB00ICBEX6;30.9.2021;1983,63;1999,92;1982,46;1999,24;0,79;29972624,13
XZAG;CBX;HRZB00ICBEX6;29.9.2021;1987,72;1991;1982,28;1983,63;-0,21;10812033,48
XZAG;CBX;HRZB00ICBEX6;28.9.2021;1980,46;1993,3;1980,15;1987,72;0,43;9035425,05
XZAG;CBX;HRZB00ICBEX6;27.9.2021;1975,21;1986,32;1971,6;1979,15;0,2;6899396,14
XZAG;CBX;HRZB00ICBEX6;24.9.2021;1976,03;1981,79;1972,13;1975,21;-0,04;4210347,53
XZAG;CBX;HRZB00ICBEX6;23.9.2021;1957,54;1978,93;1957,54;1976,03;0,95;5223198,85
XZAG;CBX;HRZB00ICBEX6;22.9.2021;1948,39;1957,87;1947,36;1957,41;0,61;4437280,55
XZAG;CBX;HRZB00ICBEX6;21.9.2021;1944,03;1950,9;1938,88;1945,53;0,31;23025346,92
XZAG;CBX;HRZB00ICBEX6;20.9.2021;1969,28;1969,28;1935,8;1939,57;-1,48;17114091,75
XZAG;CBX;HRZB00ICBEX6;17.9.2021;1968,69;1970,87;1967,85;1968,66;0;13790551,09
XZAG;CBX;HRZB00ICBEX6;16.9.2021;1970,3;1972,49;1967;1968,69;-0,03;12537301,93
XZAG;CBX;HRZB00ICBEX6;15.9.2021;1971,65;1973,4;1968,42;1969,22;-0,12;3635128,9
XZAG;CBX;HRZB00ICBEX6;14.9.2021;1969,13;1972,85;1965,16;1971,65;0,15;5266931,05
XZAG;CBX;HRZB00ICBEX6;13.9.2021;1970,61;1971,32;1964,12;1968,71;-0,21;4471874,54
XZAG;CBX;HRZB00ICBEX6;10.9.2021;1957,16;1972,83;1956,42;1972,83;0,81;3057093,99
XZAG;CBX;HRZB00ICBEX6;9.9.2021;1953,32;1957,16;1948,18;1956,95;0,12;2810589,23
XZAG;CBX;HRZB00ICBEX6;8.9.2021;1962,48;1962,81;1954,17;1954,51;-0,41;2505844,12
XZAG;CBX;HRZB00ICBEX6;7.9.2021;1959,1;1962,99;1957,18;1962,48;0,16;4633666,89
XZAG;CBX;HRZB00ICBEX6;6.9.2021;1965,61;1967,78;1958,13;1959,38;-0,3;3600238,16
XZAG;CBX;HRZB00ICBEX6;3.9.2021;1966,01;1969,62;1964,83;1965,37;-0,03;1781701,06
XZAG;CBX;HRZB00ICBEX6;2.9.2021;1967,96;1972,01;1966,01;1966,01;-0,1;2675544,63
XZAG;CBX;HRZB00ICBEX6;1.9.2021;1969,44;1979;1967,92;1967,92;0,02;6483448
