mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;6.8.2021;1203,74;1205,4;1202,8;1205,25;0,09;1541482,16
XZAG;CBX10;HRZB00ICBE11;4.8.2021;1207,4;1208,66;1203,36;1204,18;-0,13;1793313,74
XZAG;CBX10;HRZB00ICBE11;3.8.2021;1200,83;1206,11;1198,22;1205,76;0,38;1932685,25
XZAG;CBX10;HRZB00ICBE11;2.8.2021;1198,7;1205,36;1198,7;1201,15;0,28;5386275,2
XZAG;CBX10;HRZB00ICBE11;30.7.2021;1204,2;1204,52;1195,34;1197,75;-0,59;2266251,6
XZAG;CBX10;HRZB00ICBE11;29.7.2021;1192,41;1206,04;1191,78;1204,83;1,04;3188787,07
XZAG;CBX10;HRZB00ICBE11;28.7.2021;1192,97;1196,31;1192,26;1192,41;-0,11;2016111,12
XZAG;CBX10;HRZB00ICBE11;27.7.2021;1193,35;1194,99;1191,06;1193,73;0,08;5126547,38
XZAG;CBX10;HRZB00ICBE11;26.7.2021;1193,36;1195,64;1191,46;1192,72;0;3397909,62
XZAG;CBX10;HRZB00ICBE11;23.7.2021;1190,71;1193,6;1188,68;1192,73;0,28;2422496,84
XZAG;CBX10;HRZB00ICBE11;22.7.2021;1185,83;1189,45;1183,64;1189,45;0,31;2774332,44
XZAG;CBX10;HRZB00ICBE11;21.7.2021;1185,07;1185,87;1181,4;1185,83;0,06;1968929,31
XZAG;CBX10;HRZB00ICBE11;20.7.2021;1180,96;1186,39;1180,96;1185,07;0,33;3432565,53
XZAG;CBX10;HRZB00ICBE11;19.7.2021;1190,59;1193,12;1180,38;1181,14;-0,79;3770653,26
XZAG;CBX10;HRZB00ICBE11;16.7.2021;1195,87;1195,87;1190,5;1190,5;-0,32;2435878,88
XZAG;CBX10;HRZB00ICBE11;15.7.2021;1196,68;1196,8;1190,6;1194,33;-0,2;4399572,98
XZAG;CBX10;HRZB00ICBE11;14.7.2021;1207,53;1209,07;1196,27;1196,72;-0,9;7875447,42
XZAG;CBX10;HRZB00ICBE11;13.7.2021;1210,65;1210,65;1203,49;1207,53;-0,26;5229702,4
XZAG;CBX10;HRZB00ICBE11;12.7.2021;1208,62;1210,65;1206,16;1210,65;0,17;3372227,13
XZAG;CBX10;HRZB00ICBE11;9.7.2021;1215,39;1219,7;1208,62;1208,62;-0,49;3151356,56
XZAG;CBX10;HRZB00ICBE11;8.7.2021;1215,51;1215,51;1211,84;1214,58;0;1892631,54
XZAG;CBX10;HRZB00ICBE11;7.7.2021;1211,97;1217,86;1211,97;1214,55;0,36;2054556,61
XZAG;CBX10;HRZB00ICBE11;6.7.2021;1214,99;1216,75;1210,21;1210,21;-0,39;8873922,69
XZAG;CBX10;HRZB00ICBE11;5.7.2021;1217;1217;1210,54;1214,99;-0,15;2459232,5
XZAG;CBX10;HRZB00ICBE11;2.7.2021;1217,68;1221,4;1216,06;1216,85;-0,07;1398642,7
XZAG;CBX10;HRZB00ICBE11;1.7.2021;1220,37;1220,37;1207,85;1217,68;-0,05;6779058,98
XZAG;CBX10;HRZB00ICBE11;30.6.2021;1225,85;1227,19;1218,32;1218,32;-0,67;2870360,37
XZAG;CBX10;HRZB00ICBE11;29.6.2021;1229,67;1229,67;1221,92;1226,48;-0,24;3043544,34
XZAG;CBX10;HRZB00ICBE11;28.6.2021;1230,38;1231,02;1226,75;1229,49;-0,07;6045353,61
XZAG;CBX10;HRZB00ICBE11;25.6.2021;1226,58;1230,86;1222,15;1230,38;0,31;2964942,8
XZAG;CBX10;HRZB00ICBE11;24.6.2021;1220,39;1226,81;1220,35;1226,58;0,51;2073218,3
XZAG;CBX10;HRZB00ICBE11;23.6.2021;1219,76;1222,71;1218,75;1220,39;0,05;2006349,99
XZAG;CBX10;HRZB00ICBE11;21.6.2021;1225,36;1225,64;1218,94;1219,76;-0,53;1962005,1
