date;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover
25.1.2019;173;174;173;174;173,3310105;1,16;5;287;49746
24.1.2019;172;172;171,5;172;171,7635135;0;7;222;38131,5
23.1.2019;173;173;172;172;172,9677419;-0,58;4;310;53620
22.1.2019;172;173;172;173;172,6666667;0,58;3;60;10360
21.1.2019;172,5;172,5;172;172;172,0170732;-0,58;12;820;141054
18.1.2019;173,5;174,5;172,5;173;173,5841924;0;11;582;101026
17.1.2019;173;173,5;173;173;173,0362363;0;7;1642;284125,5
16.1.2019;172,5;175;172,5;173;173,8909859;0,29;20;1775;308656,5
15.1.2019;172,5;172,5;172,5;172,5;172,5;0,29;11;1125;194062,5
14.1.2019;172,5;172,5;172;172;172,0930851;0;7;188;32353,5
11.1.2019;172,5;172,5;172;172;172,2956349;0;7;252;43418,5
10.1.2019;172;173;172;172;172,0807087;-0,29;8;254;43708,5
9.1.2019;172,5;173;172,5;172,5;172,8233233;1,17;11;999;172650,5
8.1.2019;172;172;170,5;170,5;171,0952381;-0,87;9;420;71860
7.1.2019;172;173;172;172;172,5405743;0;14;801;138205
4.1.2019;172;174,5;171;172;172,0122673;-0,29;22;2364;406637
3.1.2019;176;176;172,5;172,5;173,8701299;-0,29;11;385;66940
2.1.2019;175;175;172,5;173;173,3331288;-1,7;24;815;141266,5
